gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SIGLEC14	ENSG00000254415	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	5446	0.02393110430865705							0.5317610717960792	0.3	2			18	0.2222222222222222	0.8124	Adhesion	false	true			0.008140	14380	23	5
SIGLEC8	ENSG00000105366	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	3542	0.05425718460695174			-0.671				1.0201989056956744	0.85	2			35	0.2857142857142857	0.7622	Unclassified protein	false	false			0.014062	11658	43	6
SIGLEC9	ENSG00000129450	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	5798	0.02099643494031903			-0.225				0.9424818881636343	0.3	2			30	0.5333333333333333	0.7721	Adhesion	false	false			0.022583	9168	63	6
SLA	ENSG00000155926	1	2022	IUSM-Purdue	RNA	not prioritized for experimental validation	Tbio	yes	6281	0.008685126585090491			1.39				0.8018768862895885	0.3	2			249	0.39357429718875503	0.6615		false	false			0.017196	10603	50	6
SLC12A4	ENSG00000124067	1	2023	Duke	Metabolomics; Genetics; RNA; Protein; Phenomics	Not prioritized for experimental validation 	Tbio	yes	731	0.290141820526913			1.073				0.8452215014840497	0.3	3			24	0.2916666666666667	0.2826		false	true	0.0155	0.0013	0.013086	11991	38	6
SLC16A9	ENSG00000165449	1	2023	Duke	Metabolomics; Genetics	Not prioritized for experimental validation 	Tbio	yes	6282	0.010040504165724159			1.247				0.8136067014561814	0.3	2			19	0.2631578947368421	0.6693		false	true			0.010192	13267	29	6
SLC19A4P	ENSG00000042304	1	2023	ASU	RNA	Validation studies ongoing 		yes	6283									0	0			1	1				false						3
SLC1A2	ENSG00000110436	1	2019	Chang Lab	Genetics; RNA		Tchem	yes	1738	0.11190017892108615			1.407				0.47369671567368715	0.3	3			351	0.4017094017094017	0.762	SLC01 family of amino acid transporters	false	true	0.1158	0.0456	0.064273	3482	185	6
SLC1A5	ENSG00000105281	1	2022	IUSM-Purdue	RNA	not prioritized for experimental validation	Tbio	yes	6284	0.007022017239009335			0.005				0.9994588155051767	0.3	3			82	0.35365853658536583	0.4413	Transporter	false	true			0.064739	3457	192	6
SLC22A23	ENSG00000137266	1	2018	Columbia-Rush	Genetics; RNA; Protein; Clinical	not prioritized for experimental validation	Tbio	yes	805	0.27902568947542794	0.45760822760638087		-0.542				0.5914927218394744	0.3	2			11	0.5454545454545454	0.3339		false	false	0.0025	0.0002	0.005868	15913	20	6
SLC22A4	ENSG00000197208	1	2023	Duke	Metabolomics; Genetics	Not prioritized for experimental validation 	Tbio	yes	6285	0.012883964378591687			0.124				0.9006030209620846	0.3	2			59	0.3050847457627119	0.6586	Transporter	false	true			0.024192	8765	70	6
SLC24A4	ENSG00000140090	1	2023	ASU	RNA	Validation studies ongoing 	Tbio	yes	193	0.4388080588293513	0.7085597625892728		-0.232				0.8436875090830837	0.3	2			324	0.21604938271604937	0.7459	Unclassified protein	false	true	0.0524	0.0268	0.028902	7772	74	6
SLC25A19	ENSG00000125454	1	2020	ASU	Genetics; RNA; Protein	validation studies ongoing	Tbio	yes	6286	0.0022174791281082107			-0.609				0.9561485838609703	0.3	2			21	0.42857142857142855	0.4896		false	false			0.028535	7850	83	6
SLC25A4	ENSG00000151729	1	2023	MSSM - Zhang Lab	Protein	Not prioritized for experimental validation	Tbio	yes	500	0.3317507873061027			-1.496				0.6873193412463583	0.3	2			89	0.4044943820224719	0.4445	SLC superfamily of solute carriers	false	false	0.0605	0.0172	0.077124	2740	183	6
SLC25A45	ENSG00000162241	1	2019	Chang Lab	Genetics; RNA		Tdark	yes	6287				0.289				1.363102443714826	0.3	1			12	0.3333333333333333	0.4835		false	false			0.007330	14879	24	6
SLC2A5	ENSG00000142583	1	2022	IUSM-Purdue	RNA	validation studies planned	Tbio	yes	6288	0.01643222465009713			0.645				1.3916302732404424	0.3	2			68	0.36764705882352944	0.6996	Transporter	false	true			0.017169	10609	48	6
SLC2A8	ENSG00000136856	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tbio	yes	6289	0.009650140650100548			-1.023				1.3534423110077904	0.3	2			22	0.4090909090909091	0.4014	Transporter	false	true			0.025215	8549	82	6
SLC30A3	ENSG00000115194	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	1957	0.10047802619016047			-1.158				0.8152194242529249	0.3	2			91	0.27472527472527475	0.8677		false	false	0.0178	0.001	0.020292	9744	55	6
SLC35C1	ENSG00000181830	1	2023	ASU	RNA	Validation studies ongoing 	Tbio	yes	292	0.3771671535440724	0.049497175605512166		0.497				0.6226830844093687	0.3	2			10	0.5	0.3839		false	false	0.0128	0.0005	0.025432	8501	68	6
