gene	winner_norm	winner_raw	rank	degree
POM121L1P	0.002849	2.487906e+0	18129	8
NPIPA5	0.002848	2.486777e+0	18130	10
NLRP8	0.002846	2.485153e+0	18131	8
PCDHGB4	0.002845	2.484434e+0	18132	9
RERG	0.002842	2.482114e+0	18133	9
FAM78A	0.002842	2.481654e+0	18134	9
NIM1K	0.002839	2.479238e+0	18135	10
SPIC	0.002835	2.476042e+0	18136	7
PCDHA2	0.002833	2.473839e+0	18137	5
ZBTB5	0.002832	2.473423e+0	18138	10
SRRM5	0.002832	2.472998e+0	18139	8
BPIFC	0.002824	2.466455e+0	18140	9
GGTLC1	0.002824	2.466188e+0	18141	7
ZNF418	0.002824	2.466135e+0	18142	8
SPIN4	0.002817	2.460107e+0	18143	9
ZBTB43	0.002816	2.458900e+0	18144	9
CCDC192	0.002809	2.452974e+0	18145	7
ZNF266	0.002809	2.452686e+0	18146	9
SMIM34B	0.002808	2.452543e+0	18147	8
FOXI2	0.002805	2.449784e+0	18148	10
ZNF540	0.002804	2.448447e+0	18149	9
LYSMD4	0.002802	2.446596e+0	18150	9
SPATA21	0.002800	2.445372e+0	18151	9
ARMH1	0.002800	2.445098e+0	18152	8
INKA2	0.002793	2.438965e+0	18153	8
ZNF256	0.002791	2.437763e+0	18154	8
SEBOX	0.002788	2.434689e+0	18155	9
TRNP1	0.002785	2.431844e+0	18156	9
ZNF853	0.002782	2.429383e+0	18157	10
OLFML1	0.002781	2.428956e+0	18158	10
GOLGA8G	0.002781	2.428850e+0	18159	9
PCDHB11	0.002781	2.428585e+0	18160	9
FAM53A	0.002777	2.425070e+0	18161	9
FAM193A	0.002777	2.425002e+0	18162	8
PRADC1	0.002772	2.421050e+0	18163	8
ZDHHC11B-2	0.002767	2.416465e+0	18164	8
MAP10	0.002767	2.416374e+0	18165	9
FAM240B	0.002766	2.415474e+0	18166	9
TPD52L3	0.002766	2.415187e+0	18167	7
DLK2	0.002761	2.411258e+0	18168	9
TMEM268	0.002759	2.409084e+0	18169	9
ZNF662	0.002757	2.407745e+0	18170	8
PRAF2	0.002757	2.407275e+0	18171	8
F8A3	0.002756	2.406865e+0	18172	6
ZNF697	0.002755	2.406226e+0	18173	9
TMEM243	0.002755	2.406014e+0	18174	9
CDHR4	0.002755	2.405778e+0	18175	9
C1ORF116	0.002754	2.405208e+0	18176	8
ANKRD30B	0.002752	2.403488e+0	18177	9
TMEM225B	0.002750	2.401704e+0	18178	9
C1ORF141	0.002750	2.401244e+0	18179	9
DDTL	0.002749	2.400384e+0	18180	8
DIPK1C	0.002745	2.397054e+0	18181	9
PLEKHD1	0.002741	2.393363e+0	18182	8
SYCE1L	0.002740	2.393236e+0	18183	9
SETSIP	0.002740	2.393159e+0	18184	9
MEDAG	0.002739	2.391738e+0	18185	9
DENND2A	0.002738	2.391457e+0	18186	8
ZNF57	0.002737	2.390509e+0	18187	8
RELL2	0.002737	2.390187e+0	18188	7
ARL5C	0.002737	2.389809e+0	18189	9
RP1	0.002736	2.389714e+0	18190	9
SLFN12	0.002736	2.389217e+0	18191	8
IGFBPL1	0.002735	2.388857e+0	18192	9
CCDC191	0.002733	2.386593e+0	18193	9
C11ORF91	0.002729	2.383266e+0	18194	9
ZNF630	0.002726	2.380594e+0	18195	9
TMCC3	0.002726	2.380277e+0	18196	9
PCYOX1L	0.002725	2.379511e+0	18197	10
XG	0.002723	2.378099e+0	18198	5
ARL4D	0.002722	2.377038e+0	18199	8
C4ORF33	0.002721	2.375853e+0	18200	9
ZNF417	0.002720	2.375767e+0	18201	8
FAM117A	0.002720	2.375073e+0	18202	8
ZNF430	0.002718	2.373729e+0	18203	9
CSTL1	0.002717	2.372389e+0	18204	9
RFESD	0.002715	2.371250e+0	18205	8
CXORF49B	0.002713	2.369652e+0	18206	6
ZNF566	0.002710	2.366931e+0	18207	8
GOLGA8M	0.002708	2.364951e+0	18208	8
ZNF273	0.002706	2.363134e+0	18209	7
SIRPB2	0.002705	2.362026e+0	18210	9
